name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
Player 203,ENGLAND,SPAIN,ENGLAND,FRANCE,FRANCE,FRANCE,ENGLAND,SPAIN,SPAIN,SPAIN
Player 204,ARGENTINA,URUGUAY,ARGENTINA,NETHERLANDS,ENGLAND,FRANCE,GERMANY,BELGIUM,BRAZIL,BRAZIL
Player 205,SENEGAL,URUGUAY,SENEGAL,SERBIA,SERBIA,DENMARK,DENMARK,DENMARK,URUGUAY,URUGUAY
Player 206,QATAR,JAPAN,QATAR,QATAR,QATAR,TUNISIA,TUNISIA,TUNISIA,TUNISIA,JAPAN
Player 207,NETHERLANDS,DENMARK,ENGLAND,ARGENTINA,FRANCE,SPAIN,BELGIUM,BRAZIL,PORTUGAL,GERMANY
Player 208,SENEGAL,ARGENTINA,SENEGAL,SENEGAL,DENMARK,DENMARK,URUGUAY,URUGUAY,SERBIA,ARGENTINA
Player 209,GERMANY,SPAIN,GERMANY,GERMANY,WALES,FRANCE,BRAZIL,CANADA,CANADA,BELGIUM
Player 210,BRAZIL,URUGUAY,BRAZIL,ARGENTINA,ARGENTINA,GERMANY,ENGLAND,AUSTRALIA,NETHERLANDS,SENEGAL
Player 211,BRAZIL,CAMEROON,BRAZIL,BRAZIL,SPAIN,SPAIN,GHANA,GHANA,ECUADOR,ECUADOR
Player 212,USA,SERBIA,SPAIN,SPAIN,SPAIN,SPAIN,GERMANY,GERMANY,GERMANY,GERMANY
Player 213,GERMANY,SPAIN,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,PORTUGAL,PORTUGAL,SPAIN
Player 214,FRANCE,SENEGAL,FRANCE,FRANCE,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,NETHERLANDS
Player 215,ARGENTINA,PORTUGAL,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,ARGENTINA,MEXICO,BELGIUM,FRANCE
Player 216,ARGENTINA,MOROCCO,ARGENTINA,FRANCE,FRANCE,BRAZIL,SENEGAL,SENEGAL,ECUADOR,SPAIN
Player 217,BRAZIL,BELGIUM,BRAZIL,BRAZIL,BRAZIL,ARGENTINA,ARGENTINA,GERMANY,GERMANY,FRANCE
Player 218,IRAN,SENEGAL,ARGENTINA,ARGENTINA,SPAIN,SPAIN,SPAIN,SWITZERLAND,URUGUAY,DENMARK
Player 219,BRAZIL,CROATIA,BRAZIL,BRAZIL,DENMARK,DENMARK,DENMARK,DENMARK,CROATIA,CROATIA
Player 220,CROATIA,SPAIN,CROATIA,SENEGAL,SENEGAL,BELGIUM,BELGIUM,WALES,SERBIA,URUGUAY
Player 221,SENEGAL,USA,SENEGAL,SENEGAL,SENEGAL,POLAND,POLAND,USA,USA,USA
Player 222,CROATIA,DENMARK,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,ARGENTINA,DENMARK,DENMARK
Player 223,ARGENTINA,FRANCE,ARGENTINA,GERMANY,GERMANY,GERMANY,GERMANY,PORTUGAL,PORTUGAL,FRANCE
Player 224,PORTUGAL,PORTUGAL,DENMARK,GERMANY,CROATIA,MEXICO,URUGUAY,SWITZERLAND,USA,GERMANY
Player 225,ARGENTINA,SENEGAL,POLAND,DENMARK,MEXICO,ENGLAND,BRAZIL,FRANCE,GERMANY,SENEGAL
